timestamp,sector,machine,shift,temperature,pressure,gas_co,gas_co2,oxygen,vibration,humidity,smoke_level,noise_level,motor_rpm,bearing_temperature,power_consumption,oil_level,workers_present,maintenance_status,risk_score,failure_probability,machine_failure,fire_risk,accident_risk,maintenance_due_days
2026-01-01 00:00:00,Boiler,Crane,C,70.89,4.05,60.97,616.3,19.73,4.48,51.75,4.48,94.33,2106,73.9,565.31,67.15,12,Overdue,69.11,0.69,0,0,0,47
2026-01-01 00:10:00,Continuous Casting,Turbine,B,66.8,7.4,25.18,452.11,19.98,3.46,65.77,18.03,78.61,2008,75.85,504.21,57.84,11,Good,36.83,0.37,0,0,0,31
2026-01-01 00:20:00,Continuous Casting,Induction Motor,C,85.01,9.09,16.53,688.83,20.25,1.63,42.22,23.86,82.87,1779,86.21,335.25,77.38,5,Good,36.77,0.37,0,0,0,2
2026-01-01 00:30:00,Power Plant,Turbine,B,70.12,6.31,49.18,475.29,19.64,1.29,52.37,35.7,74.97,1672,75.54,531.2,100.0,10,Due,44.64,0.45,0,0,0,17
2026-01-01 00:40:00,Boiler,Hydraulic Pump,A,63.98,8.91,26.43,696.49,19.29,2.89,50.63,14.41,75.75,1214,70.8,680.58,56.99,18,Due,44.23,0.44,0,0,0,47
2026-01-01 00:50:00,Coke Oven,Conveyor Motor,A,70.45,7.08,29.41,419.95,19.76,2.25,53.96,24.87,82.27,1553,67.87,391.96,86.45,2,Overdue,52.52,0.53,0,0,0,2
2026-01-01 01:00:00,Blast Furnace,Gearbox,B,74.67,7.56,34.26,434.15,20.08,2.77,31.07,18.34,90.21,1739,88.55,462.39,53.77,7,Overdue,50.91,0.51,0,0,0,5
2026-01-01 01:10:00,Sinter Plant,Air Compressor,B,96.18,9.44,15.65,501.08,19.51,2.51,31.21,54.06,74.66,2156,95.34,534.81,74.31,11,Due,49.47,0.49,0,1,0,29
2026-01-01 01:20:00,BOF,Turbine,A,67.57,6.85,26.79,555.47,19.41,2.54,74.77,24.98,88.1,1541,76.17,494.74,100.0,16,Due,43.24,0.43,0,0,0,12
2026-01-01 01:30:00,BOF,Hydraulic Pump,B,74.86,8.09,43.88,704.79,20.59,2.55,40.57,44.73,91.95,1214,78.68,482.71,33.25,4,Overdue,49.79,0.5,0,1,0,52
2026-01-01 01:40:00,Blast Furnace,Crane,C,71.3,10.24,47.37,530.22,20.1,3.13,51.04,35.84,94.14,2286,73.86,624.68,76.76,19,Overdue,51.79,0.52,0,0,0,9
2026-01-01 01:50:00,Continuous Casting,Air Compressor,B,66.07,9.85,9.15,419.08,19.83,2.96,40.31,37.3,86.57,1425,74.54,530.78,51.71,4,Good,22.18,0.22,0,0,0,53
2026-01-01 02:00:00,Blast Furnace,Crane,B,57.87,5.24,17.47,502.99,20.1,1.68,58.46,28.03,80.4,1383,62.17,516.63,58.19,4,Overdue,39.92,0.4,0,0,0,51
2026-01-01 02:10:00,BOF,Blower,B,101.68,9.43,20.33,517.66,19.76,1.57,68.68,15.13,85.53,1556,103.26,444.79,68.58,7,Overdue,69.51,0.7,0,1,0,13
2026-01-01 02:20:00,BOF,Crane,A,61.63,5.83,38.12,430.53,19.55,3.15,52.36,39.16,66.69,1038,61.3,528.89,58.59,12,Due,45.01,0.45,0,0,0,14
2026-01-01 02:30:00,Boiler,Furnace Fan,C,57.48,5.67,41.42,501.24,19.58,2.98,61.02,38.8,87.31,1548,62.79,661.99,85.61,12,Overdue,50.99,0.51,0,0,0,23
2026-01-01 02:40:00,Continuous Casting,Blower,A,87.49,10.78,47.94,284.05,20.52,0.94,52.87,29.77,95.25,1666,92.94,592.8,61.78,5,Due,52.61,0.53,0,0,0,29
2026-01-01 02:50:00,Continuous Casting,Cooling Pump,B,40.09,7.07,37.87,378.42,19.7,2.79,69.4,15.5,82.6,2372,42.22,669.46,36.94,8,Overdue,51.83,0.52,0,0,0,52
2026-01-01 03:00:00,BOF,Induction Motor,B,62.46,4.79,21.37,478.47,18.26,3.5,32.72,5.54,99.74,1857,76.7,598.64,78.0,15,Good,31.92,0.32,0,0,0,13
2026-01-01 03:10:00,Blast Furnace,Gearbox,A,74.92,6.33,36.68,709.59,20.87,2.79,61.13,16.39,98.36,2403,81.35,466.04,62.63,11,Good,26.17,0.26,0,0,0,43
2026-01-01 03:20:00,Compressor,Conveyor Motor,A,83.97,9.52,21.65,543.06,19.77,2.78,62.61,33.9,79.07,2056,88.0,483.87,96.1,5,Due,42.13,0.42,0,0,0,51
2026-01-01 03:30:00,Coke Oven,Gearbox,C,78.0,9.82,44.45,584.26,20.1,2.45,51.84,35.95,79.8,1684,79.88,382.27,75.18,2,Due,49.05,0.49,0,0,0,12
2026-01-01 03:40:00,Blast Furnace,Air Compressor,C,60.56,7.35,22.83,680.34,19.37,3.89,65.67,14.11,61.35,1686,67.89,615.22,97.84,7,Good,21.48,0.21,0,0,0,56
2026-01-01 03:50:00,Continuous Casting,Air Compressor,C,74.78,6.15,20.45,464.54,20.26,2.81,56.31,35.57,90.43,1973,86.22,427.22,87.16,17,Overdue,49.09,0.49,0,0,0,32
2026-01-01 04:00:00,Coke Oven,Blower,B,62.3,9.04,32.25,414.38,20.0,3.11,44.95,39.58,73.87,2562,65.96,668.09,77.81,19,Good,31.53,0.32,0,0,0,29
2026-01-01 04:10:00,Rolling Mill,Turbine,B,60.7,7.79,27.19,482.46,20.18,2.96,57.93,4.45,84.52,1988,65.12,492.34,67.81,18,Good,36.68,0.37,0,0,0,34
2026-01-01 04:20:00,Sinter Plant,Crane,A,54.65,5.72,36.02,350.64,19.69,1.3,42.27,15.67,84.32,1419,63.83,511.22,35.93,11,Due,36.54,0.37,0,0,0,18
2026-01-01 04:30:00,Sinter Plant,Cooling Pump,A,79.56,6.51,31.32,525.45,20.28,2.35,44.61,18.83,84.05,1557,92.92,464.98,76.75,8,Good,39.39,0.39,0,0,0,5
2026-01-01 04:40:00,Coke Oven,Air Compressor,B,61.34,9.14,27.03,459.49,19.71,2.66,25.98,0.0,84.91,2038,77.47,338.25,43.37,18,Good,29.63,0.3,0,0,0,40
2026-01-01 04:50:00,Rolling Mill,Blower,B,69.82,8.35,20.49,682.14,19.57,3.8,24.44,7.18,87.85,1685,75.31,509.52,78.05,18,Good,26.78,0.27,0,0,0,35
2026-01-01 05:00:00,Sinter Plant,Hydraulic Pump,C,73.97,9.03,15.64,657.36,19.71,2.9,48.2,9.07,88.3,2013,74.64,488.0,40.17,7,Overdue,51.01,0.51,0,0,0,3
2026-01-01 05:10:00,Conveyor,Crane,C,97.9,5.62,22.79,463.84,19.0,2.3,55.98,18.43,89.43,2099,105.88,379.84,95.08,2,Good,43.76,0.44,0,1,0,32
2026-01-01 05:20:00,Conveyor,Furnace Fan,A,69.27,7.14,20.42,481.27,19.98,4.57,50.24,22.29,94.26,1800,74.51,438.62,82.62,9,Due,40.65,0.41,0,0,0,54
2026-01-01 05:30:00,Coke Oven,Conveyor Motor,C,67.54,6.88,16.75,371.11,19.94,2.01,62.12,0.0,91.53,2102,83.1,561.25,76.08,19,Overdue,51.17,0.51,0,0,0,42
2026-01-01 05:40:00,Power Plant,Induction Motor,A,74.56,6.61,31.48,552.73,20.13,3.51,63.55,19.87,97.67,1814,74.01,434.83,48.03,8,Due,38.55,0.39,0,0,0,0
2026-01-01 05:50:00,Sinter Plant,Blower,A,68.26,11.87,29.41,561.48,20.14,2.52,46.37,17.96,75.75,2309,66.09,580.69,41.14,13,Due,43.88,0.44,0,0,0,20
2026-01-01 06:00:00,Power Plant,Gearbox,C,73.08,8.98,23.48,332.57,19.66,4.5,39.79,14.23,79.92,1620,81.92,448.55,69.7,13,Overdue,43.68,0.44,0,0,0,25
2026-01-01 06:10:00,Coke Oven,Air Compressor,A,65.2,6.98,49.45,446.36,20.39,3.15,39.29,23.15,68.04,2237,65.98,672.26,70.8,11,Good,37.42,0.37,0,0,0,36
2026-01-01 06:20:00,BOF,Hydraulic Pump,B,65.74,5.41,11.62,619.56,20.95,3.69,34.26,14.14,77.82,1880,70.79,609.75,50.76,10,Good,27.93,0.28,0,0,0,5
2026-01-01 06:30:00,Continuous Casting,Air Compressor,A,73.32,8.51,21.79,585.65,20.15,3.15,48.91,28.58,88.88,1337,77.87,416.81,52.2,9,Good,37.22,0.37,0,0,0,24
2026-01-01 06:40:00,Rolling Mill,Crane,A,78.86,6.73,16.07,467.25,20.28,3.39,42.02,27.39,92.14,1870,83.67,706.84,42.62,15,Good,34.18,0.34,0,0,0,39
2026-01-01 06:50:00,Blast Furnace,Induction Motor,B,84.84,7.12,38.76,423.11,20.48,2.18,36.25,6.77,77.51,1362,91.55,280.23,63.57,2,Overdue,63.5,0.63,0,0,0,53
2026-01-01 07:00:00,BOF,Hydraulic Pump,B,57.36,7.3,46.04,388.93,19.87,2.18,53.37,21.38,96.36,2062,59.23,481.05,79.49,17,Due,35.76,0.36,0,0,0,59
2026-01-01 07:10:00,BOF,Conveyor Motor,C,87.51,6.34,16.54,486.26,20.71,2.99,39.49,13.8,73.19,2130,84.76,424.49,91.38,4,Due,55.57,0.56,0,0,0,52
2026-01-01 07:20:00,Compressor,Blower,A,82.2,8.71,27.59,513.64,20.23,4.35,47.87,25.54,80.65,1843,91.71,412.38,88.14,13,Good,32.94,0.33,0,0,0,13
2026-01-01 07:30:00,Boiler,Hydraulic Pump,B,58.12,5.89,41.49,642.32,20.07,2.51,60.81,0.0,84.77,1698,59.77,645.82,72.65,3,Due,36.89,0.37,0,0,0,33
2026-01-01 07:40:00,Coke Oven,Cooling Pump,A,82.51,6.59,12.19,537.46,19.24,4.63,46.79,11.11,90.63,1286,84.63,299.66,36.69,3,Due,48.56,0.49,0,0,0,60
2026-01-01 07:50:00,Rolling Mill,Turbine,A,43.74,7.87,30.03,349.95,20.92,2.05,61.94,12.72,89.49,1990,48.65,448.57,82.69,3,Due,34.01,0.34,0,0,0,57
